concept:name,case:concept:name,time:timestamp
a20,1,2024-06-07 21:34:25.493914+00:00
a37,1,2024-06-07 21:34:29.730618+00:00
a54,1,2024-06-07 21:34:29.735618+00:00
a53,1,2024-06-07 21:34:47.936220+00:00
a71,1,2024-06-07 21:35:24.985836+00:00
a73,1,2024-06-07 21:41:15.002068+00:00
a72,1,2024-06-07 21:41:22.084624+00:00
a2,1,2024-06-07 21:41:33.208658+00:00
a1,1,2024-06-07 21:41:37.235115+00:00
a20,1,2024-06-07 21:41:37.240115+00:00
a37,1,2024-06-07 21:41:42.774725+00:00
a85,1,2024-06-07 22:06:06.774386+00:00
a85,1,2024-06-07 22:06:11.373262+00:00
a8,1,2024-06-07 22:06:12.721647+00:00
a51,1,2024-06-07 22:06:12.864669+00:00
a6,1,2024-06-07 22:06:12.869669+00:00
a85,1,2024-06-07 22:06:12.874669+00:00
a85,1,2024-06-07 22:06:17.874119+00:00
a8,1,2024-06-07 22:06:22.871963+00:00
a51,1,2024-06-07 22:06:23.173052+00:00
a29,1,2024-06-16 20:23:26.484075+00:00
a20,1,2024-06-16 20:23:26.494075+00:00
a37,1,2024-06-16 20:23:36.830693+00:00
a85,1,2024-06-16 20:23:41.292233+00:00
a85,1,2024-06-16 20:23:44.414586+00:00
a8,1,2024-06-16 20:23:45.749457+00:00
a54,1,2024-06-16 20:23:45.754457+00:00
a53,1,2024-06-16 20:24:13.271963+00:00
a71,1,2024-06-16 20:24:15.245348+00:00
a73,1,2024-06-16 20:27:34.796721+00:00
a72,1,2024-06-16 20:27:39.462429+00:00
a20,1,2024-06-16 20:27:39.467429+00:00
a37,1,2024-06-16 20:27:49.050939+00:00
a85,1,2024-06-16 20:27:54.165651+00:00
a85,1,2024-06-16 20:28:06.307300+00:00
a8,1,2024-06-16 20:28:18.533693+00:00
a51,1,2024-06-16 20:28:18.900594+00:00
a29,1,2024-06-17 12:00:54.839422+00:00
a2,1,2024-06-17 12:00:54.844422+00:00
a1,1,2024-06-17 12:00:56.855321+00:00
a6,1,2024-06-17 12:00:58.264354+00:00
a51,1,2024-06-17 12:00:58.269354+00:00
a20,1,2024-06-17 12:00:58.279354+00:00
a37,1,2024-06-17 12:01:03.813964+00:00
a85,1,2024-06-17 12:25:27.813625+00:00
a20,1,2024-06-17 12:25:27.818625+00:00
a37,1,2024-06-17 12:25:32.055329+00:00
a85,1,2024-06-17 12:25:42.333929+00:00
a85,1,2024-06-17 12:25:47.333379+00:00
a8,1,2024-06-17 12:25:52.331223+00:00
a51,1,2024-06-17 12:25:52.632312+00:00
a54,1,2024-06-17 12:25:52.637312+00:00
a53,1,2024-06-17 12:26:24.235227+00:00
a71,1,2024-06-17 12:28:24.662700+00:00
a73,1,2024-06-17 12:28:33.805537+00:00
a72,1,2024-06-17 12:28:38.240261+00:00
a2,1,2024-06-17 12:28:46.773110+00:00
a1,1,2024-06-17 12:28:48.947106+00:00
a6,1,2024-06-17 12:28:52.282537+00:00
a29,1,2024-06-17 12:28:52.287537+00:00
a85,1,2024-06-17 12:28:52.292537+00:00
a8,1,2024-06-17 12:28:53.640922+00:00
a51,1,2024-06-17 12:28:53.783944+00:00
a20,1,2024-06-17 12:28:53.793944+00:00
a20,1,2024-06-17 12:28:53.798944+00:00
a37,1,2024-06-17 12:28:58.035648+00:00
a85,1,2024-06-17 12:29:08.314248+00:00
a54,1,2024-06-17 12:29:08.319248+00:00
a53,1,2024-06-17 12:29:21.719941+00:00
a71,1,2024-06-17 12:31:33.457807+00:00
a73,1,2024-06-17 12:31:39.804644+00:00
a72,1,2024-06-17 12:31:42.740298+00:00
a2,1,2024-06-17 12:31:50.446933+00:00
a1,1,2024-06-17 12:31:52.940761+00:00
a6,1,2024-06-17 12:31:54.389670+00:00
a85,1,2024-06-17 12:31:54.394670+00:00
a8,1,2024-06-17 12:31:59.392514+00:00
a51,1,2024-06-17 12:31:59.693603+00:00
a29,1,2024-06-26 10:49:03.004626+00:00
a37,1,2024-06-26 10:49:03.009626+00:00
a85,1,2024-06-26 11:13:27.009287+00:00
a85,1,2024-06-26 11:13:31.608163+00:00
a8,1,2024-06-26 11:13:32.956548+00:00
a51,1,2024-06-26 11:13:33.099570+00:00
a20,1,2024-06-26 11:13:33.109570+00:00
a37,1,2024-06-26 11:13:43.446188+00:00
a54,1,2024-06-26 11:13:43.451188+00:00
a53,1,2024-06-26 11:14:15.049103+00:00
a71,1,2024-06-26 11:16:15.476576+00:00
a73,1,2024-06-26 11:16:24.619413+00:00
a72,1,2024-06-26 11:16:29.054137+00:00
a2,1,2024-06-26 11:16:37.586986+00:00
a20,1,2024-06-26 11:16:37.591986+00:00
a37,1,2024-06-26 11:16:47.175496+00:00
a85,1,2024-06-26 11:16:52.290208+00:00
a85,1,2024-06-26 11:17:04.431857+00:00
a8,1,2024-06-26 11:17:16.658250+00:00
a51,1,2024-06-26 11:17:17.025151+00:00
a29,1,2024-06-27 02:49:52.963979+00:00
a1,1,2024-06-27 02:49:52.968979+00:00
a6,1,2024-06-27 02:49:56.304410+00:00
a85,1,2024-06-27 02:49:56.309410+00:00
a85,1,2024-06-27 02:49:59.431763+00:00
a8,1,2024-06-27 02:50:00.766634+00:00
a51,1,2024-06-27 02:50:00.885012+00:00
a20,1,2024-06-27 02:50:00.895012+00:00
a37,1,2024-06-27 02:50:10.478522+00:00
a85,1,2024-06-27 02:50:15.593234+00:00
a85,1,2024-06-27 02:50:27.734883+00:00
a20,1,2024-06-27 02:50:27.739883+00:00
a37,1,2024-06-27 02:50:33.274493+00:00
a54,1,2024-06-27 02:50:33.279493+00:00
a53,1,2024-06-27 02:51:04.877408+00:00
a71,1,2024-06-27 02:53:05.304881+00:00
