concept:name,time:timestamp,case:concept:name,routine_type,log_number
insertValue_name_Web,2024-06-08 08:34:25.493914+11:00,102,83,9
insertValue_surname_Web,2024-06-08 08:34:37.406914+11:00,102,83,9
insertValue_age_Web,2024-06-08 08:34:45.746914+11:00,102,83,9
insertValue_type_Web,2024-06-08 08:34:50.277914+11:00,102,83,9
clickButton_confirm_Web,2024-06-08 08:35:06.887914+11:00,102,83,9
clickButton_B3_Web,2024-06-08 08:35:09.151914+11:00,102,83,9
clickButton_Button6_Web,2024-06-08 08:35:13.139914+11:00,102,83,9
openFile_Excel_Sheet1_data_xls,2024-06-08 08:35:17.476914+11:00,102,83,9
copy_A_Excel,2024-06-08 08:35:22.884914+11:00,102,83,9
insertValue_name_Web,2024-06-08 08:35:23.884914+11:00,1,52,7
insertValue_surname_Web,2024-06-08 08:35:23.885914+11:00,1,52,7
insertValue_age_Web,2024-06-08 08:35:29.654914+11:00,1,52,7
insertValue_type_Web,2024-06-08 08:35:35.814914+11:00,1,52,7
clickButton_B1_Web,2024-06-08 08:35:35.815914+11:00,1,52,7
insertValue_B_Excel,2024-06-08 08:35:38.806914+11:00,1,52,7
goToUrl_www_webpage2_com_Web,2024-06-08 08:35:44.244914+11:00,1,52,7
copy_value2_Web,2024-06-08 08:36:00.040914+11:00,1,52,7
paste_Excel_2_C,2024-06-08 08:36:03.480914+11:00,1,52,7
paste_finalCode_Web,2024-06-08 08:36:07.390914+11:00,1,52,7
clickButton_OK_Web,2024-06-08 08:36:10.243914+11:00,1,52,7
paste_Special_code_Web,2024-06-08 08:36:11.243914+11:00,102,83,9
clickButton_OK_Web,2024-06-08 08:36:13.252914+11:00,102,83,9
insertValue_name_Web,2024-06-08 08:36:14.252914+11:00,2,52,7
insertValue_name_Web,2024-06-08 08:36:15.252914+11:00,103,83,9
insertValue_surname_Web,2024-06-08 08:36:23.002914+11:00,103,83,9
insertValue_age_Web,2024-06-08 08:36:35.789914+11:00,103,83,9
insertValue_type_Web,2024-06-08 08:36:43.030914+11:00,103,83,9
clickButton_confirm_Web,2024-06-08 08:36:58.985914+11:00,103,83,9
clickButton_B3_Web,2024-06-08 08:37:03.118914+11:00,103,83,9
clickButton_Button6_Web,2024-06-08 08:37:07.330914+11:00,103,83,9
openFile_Excel_Sheet1_data_xls,2024-06-08 08:37:09.505914+11:00,103,83,9
copy_A_Excel,2024-06-08 08:37:09.506914+11:00,103,83,9
paste_Special_code_Web,2024-06-08 08:37:13.051914+11:00,103,83,9
clickButton_OK_Web,2024-06-08 08:37:13.964914+11:00,103,83,9
insertValue_surname_Web,2024-06-08 08:37:14.964914+11:00,2,52,7
insertValue_age_Web,2024-06-08 08:37:23.182914+11:00,2,52,7
insertValue_type_Web,2024-06-08 08:37:30.583914+11:00,2,52,7
clickButton_B1_Web,2024-06-08 08:37:35.046914+11:00,2,52,7
insertValue_B_Excel,2024-06-08 08:37:37.137914+11:00,2,52,7
goToUrl_www_webpage2_com_Web,2024-06-08 08:37:42.532914+11:00,2,52,7
copy_value2_Web,2024-06-08 08:37:45.740914+11:00,2,52,7
paste_Excel_2_C,2024-06-08 08:37:49.648914+11:00,2,52,7
paste_finalCode_Web,2024-06-08 08:37:51.025914+11:00,2,52,7
clickButton_OK_Web,2024-06-08 08:37:54.455914+11:00,2,52,7
insertValue_name_Web,2024-06-08 08:37:55.455914+11:00,104,83,9
insertValue_surname_Web,2024-06-08 08:38:02.402914+11:00,104,83,9
insertValue_age_Web,2024-06-08 08:38:12.396914+11:00,104,83,9
insertValue_type_Web,2024-06-08 08:38:18.555914+11:00,104,83,9
clickButton_confirm_Web,2024-06-08 08:38:19.473914+11:00,104,83,9
clickButton_B3_Web,2024-06-08 08:38:22.254914+11:00,104,83,9
clickButton_Button6_Web,2024-06-08 08:38:25.725914+11:00,104,83,9
openFile_Excel_Sheet1_data_xls,2024-06-08 08:38:27.888914+11:00,104,83,9
copy_A_Excel,2024-06-08 08:38:40.143914+11:00,104,83,9
insertValue_name_Web,2024-06-08 08:38:41.143914+11:00,3,52,7
insertValue_surname_Web,2024-06-08 08:38:41.144914+11:00,3,52,7
insertValue_age_Web,2024-06-08 08:38:53.997914+11:00,3,52,7
insertValue_type_Web,2024-06-08 08:38:58.546914+11:00,3,52,7
clickButton_B1_Web,2024-06-08 08:39:13.865914+11:00,3,52,7
insertValue_B_Excel,2024-06-08 08:39:19.138914+11:00,3,52,7
goToUrl_www_webpage2_com_Web,2024-06-08 08:39:34.684914+11:00,3,52,7
copy_value2_Web,2024-06-08 08:39:47.106914+11:00,3,52,7
paste_Excel_2_C,2024-06-08 08:39:50.973914+11:00,3,52,7
paste_finalCode_Web,2024-06-08 08:39:54.013914+11:00,3,52,7
clickButton_OK_Web,2024-06-08 08:39:56.863914+11:00,3,52,7
paste_Special_code_Web,2024-06-08 08:39:57.863914+11:00,104,83,9
clickButton_OK_Web,2024-06-08 08:40:01.343914+11:00,104,83,9
insertValue_name_Web,2024-06-08 08:40:02.343914+11:00,4,52,7
insertValue_surname_Web,2024-06-08 08:40:09.203914+11:00,4,52,7
insertValue_age_Web,2024-06-08 08:40:13.643914+11:00,4,52,7
insertValue_type_Web,2024-06-08 08:40:24.211914+11:00,4,52,7
insertValue_name_Web,2024-06-08 08:40:25.211914+11:00,105,83,9
insertValue_surname_Web,2024-06-08 08:40:27.744914+11:00,105,83,9
