concept:name,time:timestamp,case:concept:name,routine_type,log_number
insertValue_name_Web,2024-06-08 08:34:25.493914+11:00,1,83,9
insertValue_surname_Web,2024-06-08 08:34:37.406914+11:00,1,83,9
insertValue_age_Web,2024-06-08 08:34:45.746914+11:00,1,83,9
insertValue_type_Web,2024-06-08 08:34:50.277914+11:00,1,83,9
clickButton_confirm_Web,2024-06-08 08:35:06.887914+11:00,1,83,9
clickButton_B3_Web,2024-06-08 08:35:09.151914+11:00,1,83,9
clickButton_Button6_Web,2024-06-08 08:35:13.139914+11:00,1,83,9
openFile_Excel_Sheet1_data_xls,2024-06-08 08:35:17.476914+11:00,1,83,9
copy_A_Excel,2024-06-08 08:35:22.884914+11:00,1,83,9
insertValue_name_Web,2024-06-08 08:35:22.889914+11:00,1,86,9
insertValue_surname_Web,2024-06-08 08:35:31.383914+11:00,1,86,9
insertValue_age_Web,2024-06-08 08:35:37.868914+11:00,1,86,9
insertValue_type_Web,2024-06-08 08:35:41.742914+11:00,1,86,9
clickButton_confirm_Web,2024-06-08 08:35:41.743914+11:00,1,86,9
clickButton_B5_Web,2024-06-08 08:35:43.970914+11:00,1,86,9
insertBoolValue_Australian_Web,2024-06-08 08:35:46.439914+11:00,1,86,9
clickButton_Button6_Web,2024-06-08 08:35:56.244914+11:00,1,86,9
openFile_Excel_Sheet1_data_xls,2024-06-08 08:36:01.155914+11:00,1,86,9
copy_B_Excel_Special_code,2024-06-08 08:36:08.669914+11:00,1,86,9
paste_Special_code_Web,2024-06-08 08:36:10.519914+11:00,1,86,9
paste_Country_Web,2024-06-08 08:36:14.210914+11:00,1,86,9
insertValue_name_Web,2024-06-08 08:36:14.215914+11:00,1,52,7
insertValue_surname_Web,2024-06-08 08:36:14.216914+11:00,1,52,7
insertValue_age_Web,2024-06-08 08:36:19.985914+11:00,1,52,7
insertValue_type_Web,2024-06-08 08:36:26.145914+11:00,1,52,7
clickButton_B1_Web,2024-06-08 08:36:26.146914+11:00,1,52,7
insertValue_B_Excel,2024-06-08 08:36:29.137914+11:00,1,52,7
goToUrl_www_webpage2_com_Web,2024-06-08 08:36:34.575914+11:00,1,52,7
copy_value2_Web,2024-06-08 08:36:50.371914+11:00,1,52,7
paste_Excel_2_C,2024-06-08 08:36:53.811914+11:00,1,52,7
paste_finalCode_Web,2024-06-08 08:36:57.721914+11:00,1,52,7
clickButton_OK_Web,2024-06-08 08:37:00.574914+11:00,1,52,7
goToUrl_www_webpage_com_Web,2024-06-08 08:37:00.579914+11:00,1,86,9
clickButton_Button9_Web,2024-06-08 08:37:10.022914+11:00,1,86,9
clickButton_OK_Web,2024-06-08 08:37:12.786914+11:00,1,86,9
paste_Special_code_Web,2024-06-08 08:37:12.791914+11:00,1,83,9
clickButton_OK_Web,2024-06-08 08:37:14.800914+11:00,1,83,9
insertValue_name_Web,2024-06-08 08:37:14.810914+11:00,1,83,9
insertValue_surname_Web,2024-06-08 08:37:22.560914+11:00,1,83,9
insertValue_age_Web,2024-06-08 08:37:35.347914+11:00,1,83,9
insertValue_type_Web,2024-06-08 08:37:42.588914+11:00,1,83,9
clickButton_confirm_Web,2024-06-08 08:37:58.543914+11:00,1,83,9
clickButton_B3_Web,2024-06-08 08:38:02.676914+11:00,1,83,9
insertValue_name_Web,2024-06-08 08:38:02.681914+11:00,1,52,7
insertValue_surname_Web,2024-06-08 08:38:13.833914+11:00,1,52,7
insertValue_name_Web,2024-06-08 08:38:13.838914+11:00,1,86,9
insertValue_surname_Web,2024-06-08 08:38:13.839914+11:00,1,86,9
insertValue_age_Web,2024-06-08 08:38:24.683914+11:00,1,86,9
insertValue_type_Web,2024-06-08 08:38:35.483914+11:00,1,86,9
clickButton_confirm_Web,2024-06-08 08:38:43.316914+11:00,1,86,9
clickButton_B5_Web,2024-06-08 08:38:46.194914+11:00,1,86,9
insertBoolValue_Australian_Web,2024-06-08 08:38:48.542914+11:00,1,86,9
clickButton_Button6_Web,2024-06-08 08:38:48.543914+11:00,1,86,9
openFile_Excel_Sheet1_data_xls,2024-06-08 08:38:52.129914+11:00,1,86,9
copy_B_Excel_Special_code,2024-06-08 08:38:59.351914+11:00,1,86,9
paste_Special_code_Web,2024-06-08 08:39:00.780914+11:00,1,86,9
paste_Country_Web,2024-06-08 08:39:03.972914+11:00,1,86,9
goToUrl_www_webpage_com_Web,2024-06-08 08:39:07.864914+11:00,1,86,9
clickButton_Button9_Web,2024-06-08 08:39:10.223914+11:00,1,86,9
clickButton_OK_Web,2024-06-08 08:39:12.211914+11:00,1,86,9
insertValue_age_Web,2024-06-08 08:39:12.216914+11:00,1,52,7
insertValue_type_Web,2024-06-08 08:39:19.617914+11:00,1,52,7
clickButton_B1_Web,2024-06-08 08:39:24.080914+11:00,1,52,7
insertValue_B_Excel,2024-06-08 08:39:26.171914+11:00,1,52,7
goToUrl_www_webpage2_com_Web,2024-06-08 08:39:31.566914+11:00,1,52,7
