,openFile_Excel_Sheet1_data_xls_1,goToUrl_www_webpage_com_Web_1,insertValue_username_Web_1,insertValue_password_Web_1,clickButton_confirm_Web_1,waitResponse_www_webpage_com_ok_Web,clickButton_Button1_Web,clickButton_B2_Web,insertValue_ID_Web,copy_B_Excel_Special_code,paste_Special_code_Web,insertValue_userID_Web,waitResponse_www_webpage_com_wrong_Web,copy_userID_Web,paste_newID_Web,clickButton_B3_Web,paste_A_Excel,copy_B_Excel_Area_1,paste_Area_Web_1,insertValue_name_Web,insertValue_surname_Web,insertValue_age_Web,insertValue_type_Web,clickButton_confirm_Web_2,clickButton_B4_Web,clickButton_Clients_Web,insertValue_clientID_Web,pressKey_Web,clickButton_update_Web,insertValue_address_Web,insertValue_country_Web,clickButton_UnbindFile_Web,clickButton_OK_Web_1,clickButton_Confirm_Web,clickButton_OK_Web_2,copy_B_Excel_Area_2,paste_Area_Web_2,clickButton_OK_Web_3,copy_B_Excel_Area_3,paste_Area_Web_3,clickButton_OK_Web_4,clickButton_OK_Web_5,openFile_Excel_Sheet1_data_xls_2,openFile_Excel_Sheet1_data_xls_3,goToUrl_www_webpage_com_Web_2,insertValue_username_Web_2,openFile_Excel_Sheet1_data_xls_4,goToUrl_www_webpage_com_Web_3,insertValue_password_Web_2,clickButton_confirm_Web_3,paste_Area_Web_4,clickButton_OK_Web_6,openFile_Excel_Sheet1_data_xls_5,goToUrl_www_webpage_com_Web_4,clickButton_OK_Web_7,clickButton_OK_Web_8,copy_B_Excel_Area_4,copy_B_Excel_Area_5,paste_Area_Web_5,insertValue_username_Web_3,insertValue_username_Web_4,paste_Area_Web_6,clickButton_OK_Web_9,openFile_Excel_Sheet1_data_xls_6,goToUrl_www_webpage_com_Web_5,openFile_Excel_Sheet1_data_xls_7,goToUrl_www_webpage_com_Web_6,insertValue_username_Web_5,goToUrl_www_webpage_com_Web_7,openFile_Excel_Sheet1_data_xls_8,goToUrl_www_webpage_com_Web_8,copy_B_Excel_Area_6,paste_Area_Web_7,insertValue_password_Web_3,paste_Area_Web_8,paste_Area_Web_9,openFile_Excel_Sheet1_data_xls_9,paste_Area_Web_10,openFile_Excel_Sheet1_data_xls_10,insertValue_username_Web_6,paste_Area_Web_11,openFile_Excel_Sheet1_data_xls_11,clickButton_OK_Web_10,insertValue_password_Web_4
openFile_Excel_Sheet1_data_xls_1,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
goToUrl_www_webpage_com_Web_1,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
insertValue_username_Web_1,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
insertValue_password_Web_1,1,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clickButton_confirm_Web_1,1,0,0,0,0,95,0,0,0,0,0,1,13,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
waitResponse_www_webpage_com_ok_Web,0,0,0,0,0,0,94,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clickButton_Button1_Web,0,0,0,0,0,0,0,93,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clickButton_B2_Web,0,0,0,0,0,0,0,0,97,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
insertValue_ID_Web,0,0,0,0,0,0,0,0,0,95,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
copy_B_Excel_Special_code,0,0,0,0,0,0,0,0,0,0,93,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
